year,qtr,cbsa,low,high
1999,1,10180,1.02,1.14
1999,1,10420,1.14,1.25
1999,1,10500,.51,1.02
1999,1,10540,1.35,1.47
1999,1,10580,.51,1.02
1999,1,10740,1.47,1.61
1999,1,10780,.51,1.02
1999,1,10900,1.14,1.25
1999,1,11020,.51,1.02
1999,1,11100,.51,1.02
1999,1,11180,.51,1.02
1999,1,11260,1.47,1.61
1999,1,11460,.51,1.02
1999,1,11500,1.02,1.14
1999,1,11540,.51,1.02
1999,1,11700,1.02,1.14
1999,1,12020,1.02,1.14
1999,1,12060,1.25,1.35
1999,1,12100,.51,1.02
1999,1,12220,1.25,1.35
1999,1,12260,1.14,1.25
1999,1,12420,.51,1.02
1999,1,12540,1.47,1.61
1999,1,12580,1.35,1.47
1999,1,12620,.51,1.02
1999,1,12700,1.79,2.06
1999,1,12940,1.02,1.14
1999,1,12980,.51,1.02
1999,1,13020,1.02,1.14
1999,1,13140,.51,1.02
1999,1,13220,1.02,1.14
1999,1,13380,1.79,2.06
1999,1,13460,1.79,2.06
1999,1,13740,1.02,1.14
1999,1,13780,.51,1.02
1999,1,13820,1.02,1.14
1999,1,13900,1.02,1.14
1999,1,13980,1.25,1.35
1999,1,14010,.51,1.02
1999,1,14020,1.25,1.35
1999,1,14100,.51,1.02
1999,1,14260,1.35,1.47
1999,1,14460,.51,1.02
1999,1,14500,1.14,1.25
1999,1,14540,1.02,1.14
1999,1,14740,2.51,
1999,1,14860,1.25,1.35
1999,1,15180,.51,1.02
1999,1,15260,1.02,1.14
1999,1,15380,.51,1.02
1999,1,15500,1.35,1.47
1999,1,15540,1.02,1.14
1999,1,15680,1.79,2.06
1999,1,15940,1.14,1.25
1999,1,15980,1.79,2.06
1999,1,16020,.51,1.02
1999,1,16060,1.02,1.14
1999,1,16180,1.02,1.14
1999,1,16220,.51,1.02
1999,1,16300,.51,1.02
1999,1,16540,1.14,1.25
1999,1,16580,.51,1.02
1999,1,16620,.51,1.02
1999,1,16700,1.61,1.79
1999,1,16740,1.14,1.25
1999,1,16820,1.35,1.47
1999,1,16860,.51,1.02
1999,1,16940,1.25,1.35
1999,1,16980,1.02,1.14
1999,1,17020,1.61,1.79
