year,qtr,state_fips,low,high
1999,1,01,.4,1.11
1999,1,02,1.24,1.32
1999,1,04,1.4,1.5
1999,1,05,.4,1.11
1999,1,06,1.6,1.72
1999,1,08,1.32,1.4
1999,1,09,1.11,1.24
1999,1,10,.4,1.11
1999,1,11,.4,1.11
1999,1,12,1.5,1.6
1999,1,13,1.24,1.32
1999,1,15,1.84,2.06
1999,1,16,1.4,1.5
1999,1,17,.4,1.11
1999,1,18,.4,1.11
1999,1,19,.4,1.11
1999,1,20,.4,1.11
1999,1,21,.4,1.11
1999,1,22,.4,1.11
1999,1,23,1.11,1.24
1999,1,24,1.6,1.72
1999,1,25,.4,1.11
1999,1,26,.4,1.11
1999,1,27,.4,1.11
1999,1,28,.4,1.11
1999,1,29,.4,1.11
1999,1,30,1.24,1.32
1999,1,31,.4,1.11
1999,1,32,1.32,1.4
1999,1,33,1.11,1.24
1999,1,34,1.11,1.24
1999,1,35,1.4,1.5
1999,1,36,.4,1.11
1999,1,37,1.11,1.24
1999,1,38,.4,1.11
1999,1,39,.4,1.11
1999,1,40,.4,1.11
1999,1,41,1.32,1.4
1999,1,42,.4,1.11
1999,1,44,1.24,1.32
1999,1,45,1.24,1.32
1999,1,46,.4,1.11
1999,1,47,1.11,1.24
1999,1,48,.4,1.11
1999,1,49,1.32,1.4
1999,1,50,1.11,1.24
1999,1,51,1.32,1.4
1999,1,53,1.4,1.5
1999,1,54,.4,1.11
1999,1,55,.4,1.11
1999,1,56,.4,1.11
1999,2,01,.4,1.11
1999,2,02,1.24,1.32
1999,2,04,1.24,1.32
1999,2,05,.4,1.11
1999,2,06,1.5,1.6
1999,2,08,1.24,1.32
1999,2,09,.4,1.11
1999,2,10,.4,1.11
1999,2,11,.4,1.11
1999,2,12,1.4,1.5
1999,2,13,1.11,1.24
1999,2,15,1.72,1.84
1999,2,16,1.4,1.5
1999,2,17,.4,1.11
1999,2,18,.4,1.11
1999,2,19,.4,1.11
1999,2,20,.4,1.11
1999,2,21,.4,1.11
1999,2,22,.4,1.11
1999,2,23,.4,1.11
1999,2,24,1.5,1.6
1999,2,25,.4,1.11
1999,2,26,.4,1.11
1999,2,27,.4,1.11
1999,2,28,.4,1.11
1999,2,29,.4,1.11
1999,2,30,1.24,1.32
1999,2,31,.4,1.11
1999,2,32,1.32,1.4
1999,2,33,.4,1.11
1999,2,34,.4,1.11
1999,2,35,1.32,1.4
1999,2,36,.4,1.11
1999,2,37,1.11,1.24
1999,2,38,.4,1.11
1999,2,39,.4,1.11
1999,2,40,.4,1.11
1999,2,41,1.32,1.4
1999,2,42,.4,1.11
1999,2,44,1.11,1.24
