Unnamed: 0,new jersey,Pennsylvania,Delaware,Mississippi,Nevada,Rhode Island,West Virginia,Arkansas,New York,Iowa,Indiana,New Hampshire,Michigan,Colorado,Washington DC,Illinois,Tennessee,Virginia,Wyoming,South Dakota,Connecticut,Louisiana,Arizona,Maryland
June-2018,337077,0,437609,0,1361678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
July-2018,377015,0,230614,0,274118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
August-2018,1038073,0,457984,77407,850770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
September-2018,2883517,0,4118974,660455,3800520,0,212924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
October-2018,1536282,0,1299481,141401,1994423,0,101025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
November-2018,2730521,183239,998477,200910,1831680,37228,116138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
December-2018,2695290,722733,2989387,740907,2977155,488536,224715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January-2019,2532619,938597,1311863,335189,987255,81589,174623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February-2019,1817553,700854,438047,330773,2417580,454218,17109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March-2019,4180051,1986962,821072,587847,2195303,789597,159752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
April-2019,2817206,1519734,307046,246940,1461780,1004756,55488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-2019,2135704,1030267,202247,143036,760523,458574,93707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
June-2019,1258541,740455,232733,195014,1119623,1096499,37923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
July-2019,2367745,1026769,253516,126453,711045,422065,68221,9995,34947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
August-2019,3327589,2201406,241770,346122,1264478,434412,154959,7652,82815,145914,0,0,0,0,0,0,0,0,0,0,0,0,0,0
September-2019,5017875,5359994,3123828,675790,3514590,1283190,375576,23796,228387,334553,813103,0,0,0,0,0,0,0,0,0,0,0,0,0
October-2019,5662148,5381370,2358625,1475443,3232373,1253139,315683,49401,223323,381931,1096161,0,0,0,0,0,0,0,0,0,0,0,0,0
November-2019,4460461,5299447,2167507,454088,2093378,1400214,228906,23595,130830,242983,1006365,0,0,0,0,0,0,0,0,0,0,0,0,0
December-2019,4016635,4094813,2032440,417470,2452073,1311595,232292,59198,78042,196037,1146471,19403,0,0,0,0,0,0,0,0,0,0,0,0
