State,Stadium
MI,380083
PA,438004
OH,597898
TX,1156367
TN,354879
LA,461414
AL,499172
GA,312163
CA,925203
FL,684099
OK,171621
NE,110047
NJ,187943
MD,287384
SC,222059
WI,203656
IN,280798
MO,290862
CO,285972
AR,160691
NC,357506
WA,252962
NY,318203
IA,132085
MA,204481
MN,176364
VA,252701
NV,128800
MS,244367
UT,160437
AZ,226468
IL,302075
CT,101446
KY,164000
WV,98019
DC,118580
OR,149692
KS,120738
NM,70437
ID,37000
WY,32580
MT,25200
ND,40000
RI,20000
HI,20000
SD,19400
DE,18800
